"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "PostCSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\NewAdmission\NewAdmission.jsx", "JavaScript JSX", 0, 0, 62, 0, 0, 0, 1, 8, 71
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\NewAdmission\Sumario.jsx", "JavaScript JSX", 0, 0, 83, 0, 0, 0, 0, 4, 87
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\NewAdmission\forms\AcademicDetailsForm.jsx", "JavaScript JSX", 0, 0, 82, 0, 0, 0, 0, 8, 90
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\NewAdmission\forms\GuardianDetailsForm.jsx", "JavaScript JSX", 0, 0, 152, 0, 0, 0, 0, 9, 161
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\NewAdmission\forms\IndividualDetailsForm.jsx", "JavaScript JSX", 0, 0, 228, 0, 0, 0, 0, 15, 243
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\NewAdmission\forms\PreviousSchoolDetailsForm.jsx", "JavaScript JSX", 0, 0, 52, 0, 0, 0, 0, 4, 56
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\NewAdmission\forms\util\UtilCombobox.jsx", "JavaScript JSX", 0, 0, 86, 0, 0, 0, 0, 4, 90
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\NewAdmission\sc_forms\AcademicDetailsForm.jsx", "JavaScript JSX", 0, 0, 72, 0, 0, 0, 0, 11, 83
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\NewAdmission\sc_forms\GuardianDetailsForm.jsx", "JavaScript JSX", 0, 0, 129, 0, 0, 0, 0, 14, 143
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\NewAdmission\sc_forms\IndividualDetailsForm.jsx", "JavaScript JSX", 0, 0, 179, 0, 0, 0, 0, 17, 196
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\NewAdmission\sc_forms\PreviousSchoolDetailsForm.jsx", "JavaScript JSX", 0, 0, 52, 0, 0, 0, 0, 5, 57
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\NewAdmission\sc_forms\util\UtilCombobox.jsx", "JavaScript JSX", 0, 0, 100, 0, 0, 0, 13, 5, 118
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\Observaciones\ObservacionesForm.jsx", "JavaScript JSX", 0, 0, 182, 0, 0, 0, 1, 23, 206
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\Observaciones\PageObservaciones.jsx", "JavaScript JSX", 0, 0, 95, 0, 0, 0, 0, 18, 113
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\Observaciones\TablaObservacionesProfesor.jsx", "JavaScript JSX", 0, 0, 74, 0, 0, 0, 0, 2, 76
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\Profile\PerfilGeneral.jsx", "JavaScript JSX", 0, 0, 20, 0, 0, 0, 0, 5, 25
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\SolicitudesVinculacion\AllSolicitudesVinculacion.jsx", "JavaScript JSX", 0, 0, 121, 0, 0, 0, 0, 11, 132
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\TodosLosAserores\AlumnosSupervisados.jsx", "JavaScript JSX", 0, 0, 81, 0, 0, 0, 2, 6, 89
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\TodosLosAserores\EditarModalAsesor.jsx", "JavaScript JSX", 0, 0, 48, 0, 0, 0, 0, 7, 55
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\TodosLosAserores\FormAsesor.jsx", "JavaScript JSX", 0, 0, 139, 0, 0, 0, 4, 13, 156
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\TodosLosAserores\NuevoAsesor.jsx", "JavaScript JSX", 0, 0, 50, 0, 0, 0, 0, 8, 58
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\TodosLosAserores\PerfilAsesor.jsx", "JavaScript JSX", 0, 0, 99, 0, 0, 0, 3, 11, 113
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\pages\TodosLosAserores\TodosLosAsesores.jsx", "JavaScript JSX", 0, 0, 114, 0, 0, 0, 0, 9, 123
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\serviciosApi\createAsesor.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 5, 59
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\serviciosApi\createGuardian.js", "JavaScript", 66, 0, 0, 0, 0, 0, 1, 8, 75
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\serviciosApi\createProfesor.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 5, 62
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\serviciosApi\createStudents.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 7, 62
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\serviciosApi\editAsesor.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 4, 52
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\serviciosApi\editGuardian.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 4, 52
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\serviciosApi\editProfesor.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 4, 52
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\serviciosApi\editStudents.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 6, 53
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\serviciosApi\getAllAsesores.js", "JavaScript", 92, 0, 0, 0, 0, 0, 0, 7, 99
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\serviciosApi\getAllGuardian.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 6, 90
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\serviciosApi\getAllProfesor.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 7, 90
